"","SRR10846669_m1","SRR10846670_m1","SRR10846671_m1","SRR10846672_m1","SRR10846673_m1","SRR10846674_m1","SRR10846675_m1","SRR10846676_m1","SRR10846677_m1","SRR10846678_m1","SRR10846679_m1","SRR10846680_m1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tb04.24M18.150",0,0,0,4.35426038611809,0.598625373994002,0,0.312311359041491,0,0,0,0,0,0.438766426596132,0.87969536261667,4.4073563239364,0.199597059543163,0.841795727655131,NA
"Tb04.3I12.100",223.69179790888,228.98977745867,439.692929988187,309.152487414384,354.386221404449,434.529213443431,408.50325762627,360.281742942529,445.790805772026,222.070823071597,381.285961349,385.689369473301,349.505365654394,-0.345957210151482,0.396839038572063,-0.871782200149291,0.383327206864876,0.61882767684126
"Tb05.30F7.410",5.63928902291294,0.905097934619249,32.0772422233374,3.26569528958856,17.3601358458261,11.4349793011429,13.7416997978256,10.1202736781609,32.0412141648643,0,12.9493345363811,14.5086910146696,12.8369710674441,0.117952315137673,1.1497595836543,0.102588677506634,0.918289429464069,0.967199384218765
"Tb06.3A7.960",0,0,0.782371761544816,4.35426038611809,0,1.3452916824874,0,0,0,0,0.479604982828931,0,0.580127401081603,0.0667855197375941,3.58773526725274,0.0186149519857785,0.985148274943223,NA
"Tb07.30D13.110",5.63928902291294,1.8101958692385,3.12948704617926,17.4170415444723,2.39450149597601,0,0.936934077124472,2.02405473563219,0,0,0,0,2.77929198262798,0.643507334326728,1.89091999984404,0.340314415406153,0.733619762417994,0.878527732665752
"Tb07.30D13.130",0,1.8101958692385,2.34711528463445,15.2399113514133,0.598625373994002,0.672645841243701,0,0,0,0,0.959209965657863,0,1.80230864051515,0.0905488707186253,2.31396456044496,0.0391314855320054,0.968785558362074,NA
"Tb07.30D13.160",0,0.905097934619249,0.782371761544816,4.35426038611809,0,0,0,1.01202736781609,2.78619253607516,0,0.479604982828931,0,0.859962914083528,2.4120000252806,2.48456805269993,0.970792497577004,0.331651619340243,NA
"Tb07.30D13.180",3.7595260152753,1.8101958692385,0.782371761544816,10.8856509652952,1.197250747988,0.672645841243701,0,0,0,14.3271498755869,0,0,2.78623258968104,2.89305211081494,1.93749480642352,1.49319218881175,0.135386886202926,0.335530176418229
"Tb07.30D13.60",3.7595260152753,2.71529380385775,5.47660233081371,10.8856509652952,3.59175224396401,0.672645841243701,0.312311359041491,0,0,0,0.959209965657863,0.604528792277902,2.41479344311891,0.106698327681222,1.62790136610617,0.0655434843306492,0.947741285257139,0.979133021007648
"Tb07.30D13.80",0,1.8101958692385,2.34711528463445,20.6827368340609,4.78900299195202,2.0179375237311,0.936934077124472,2.02405473563219,0,7.16357493779345,0.479604982828931,0.604528792277902,3.57130716910616,-1.58537770714891,1.67991605722377,-0.943724360709371,0.34531052198849,0.577716702335102
"Tb11.01.2730",0,2.71529380385775,1.56474352308963,10.8856509652952,0,0,0,1.01202736781609,0,7.16357493779345,0.959209965657863,0,2.02504171362583,1.97744048354446,2.4102574596695,0.820427077452385,0.411972684601593,NA
"Tb11.01.6240",0,0,0,3.26569528958856,1.197250747988,0.672645841243701,0,0,0,0,0,0,0.427965989901689,-0.373829339921627,4.34360590554178,-0.0860642857688074,0.931415314075989,NA
"Tb11.01.6250",0,2.71529380385775,0,2.17713019305904,0,0,0.312311359041491,0,0,0,0,0.604528792277902,0.484105345686348,1.84146862022261,3.66342579011869,0.50266300608288,0.615201223252123,NA
"Tb11.02.5090",0,0.905097934619249,1.56474352308963,6.53139057917713,1.197250747988,0,0,0,0,0,0.479604982828931,0,0.889840647308579,0.15526302493867,2.74639108039428,0.0565334726168641,0.954916830861889,NA
"Tb11.02.5105",0,17.1968607577657,0,6.53139057917713,19.7546373418021,24.8878961260169,29.6695791089416,32.384875770115,0,7.16357493779345,23.9802491414466,21.7630365220045,15.2776750237552,-4.71309210929519,1.48663466286428,-3.1703095770783,0.00152276605344061,0.0116442481602612
"Tb11.02.5380",1.87976300763765,0.905097934619249,0,3.26569528958856,0.598625373994002,0,0,0,0,0,0.959209965657863,0,0.63403263095811,1.95011409535057,3.07270668300578,0.634656768944484,0.525652294721297,NA
"Tb11.02.5390",0,0,0,5.44282548264761,1.197250747988,0.672645841243701,0,0,1.39309626803758,0,0.479604982828931,0.604528792277902,0.815829342918644,0.479085356989844,2.68511177332302,0.178422873025111,0.858390887426412,NA
"Tb11.02.5400",9.39881503818824,175.588999316134,9.38846113853779,3.26569528958856,80.8144254891903,84.7533759967063,91.8195395581982,81.9742167931035,19.5033477525261,64.4721744401411,79.1348221667737,87.0521460880179,65.5971682555922,-1.50812111729727,1.09385417243666,-1.37872227880047,NA,NA
"Tb11.02.5410",3.7595260152753,0,2.34711528463445,5.44282548264761,0,0,0,1.01202736781609,0,0,0,0,1.04679117919779,2.65012707133641,3.10632160620853,0.853139953712348,0.393581697314826,NA
"Tb11.02.5420",20.6773930840141,0.905097934619249,47.7246774542338,28.3026925097676,9.57800598390404,13.452916824874,10.9308975664522,7.08419157471265,73.8341022059917,0,15.8269644333547,6.64981671505692,19.5805630239151,1.73086761662963,1.12091185103349,1.54416033253084,0.122549495875727,0.313445515444898
"Tb11.02.5430",0,0,0.782371761544816,6.53139057917713,1.79587612198201,0,0,0,0,0,0,0,0.759136538558663,-0.325329220637577,4.05855017906146,-0.0801589745806245,0.936110818663149,NA
"Tb11.02.5440",3.7595260152753,0,0.782371761544816,6.53139057917713,14.9656343498501,21.5246669197984,15.927879311116,20.2405473563219,0,7.16357493779345,9.1124946737497,18.740392560615,9.89570653877014,-2.91131556890996,1.17220465347337,-2.48362396470908,0.0130053059623609,0.0638283183929119
"Tb927.1.05",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Tb927.1.10",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
