"Gene","Description","Phenotype"
"Tb927.1.1020","leucine-rich repeat-containing protein","overrepresented"
"Tb927.1.1500","conserved protein, unknown function","overrepresented"
"Tb927.1.3310","hypothetical protein, conserved","overrepresented"
"Tb927.10.12050","hypothetical protein, conserved","overrepresented"
"Tb927.10.12370","gamma-glutamylcysteine synthetase (GCS)","overrepresented"
"Tb927.10.1490","hypothetical protein, conserved","overrepresented"
"Tb927.10.2830","hypothetical protein, conserved","overrepresented"
"Tb927.10.390","hypothetical protein, conserved","overrepresented"
"Tb927.10.5150","zinc finger protein family member, putative (ZC3H31)","overrepresented"
"Tb927.10.6850","mitochondrial RNA binding complex 1 subunit,mitochondrial edited mRNA stability factor 1 subunit,kinteoplast poly(A) polymerase complex 1 subunit","overrepresented"
"Tb927.10.9060","hypothetical protein, conserved","overrepresented"
"Tb927.10.9720","RNA-editing-associated protein 1,RNA-binding protein,oligo (U) binding protein,RNA editing complex protein (REAP-1)","overrepresented"
"Tb927.11.11435","dynein light chain lc6","overrepresented"
"Tb927.11.12380","hypothetical protein, conserved","overrepresented"
"Tb927.11.15280","tRNA-sepcific adenosine deaminase (ADAT3)","overrepresented"
"Tb927.11.1810","hypothetical protein, conserved","overrepresented"
"Tb927.11.2910","phosphoglycerate mutase, putative (iPGAM)","overrepresented"
"Tb927.11.5600","hypothetical protein, conserved","overrepresented"
"Tb927.11.590","hypothetical protein, conserved","overrepresented"
"Tb927.11.7475","hypothetical protein, conserved","overrepresented"
"Tb927.2.2130","small GTP-binding protein RAB6, putative","overrepresented"
"Tb927.2.5210","3-oxoacyl-ACP reductase, putative","overrepresented"
"Tb927.3.1610","protein kinase, putative","overrepresented"
"Tb927.3.4930","hypothetical protein, conserved","overrepresented"
"Tb927.3.5190","hypothetical protein, conserved","overrepresented"
"Tb927.3.5250","Zinc finger CCCH domain-containing protein 8 (ZC3H8)","overrepresented"
"Tb927.4.1910","hypothetical protein, conserved","overrepresented"
"Tb927.4.4540","hypothetical protein, conserved","overrepresented"
"Tb927.4.4810","hypothetical protein, conserved","overrepresented"
"Tb927.4.890","small nuclear ribonucleoprotein SmD3, putative (SmD3)","overrepresented"
"Tb927.5.2620","hypothetical protein, conserved","overrepresented"
"Tb927.5.3450","hypothetical protein, conserved","overrepresented"
"Tb927.5.4150","hypothetical protein, conserved","overrepresented"
"Tb927.5.4370","hypothetical protein, conserved","overrepresented"
"Tb927.6.1280","translation initiation factor EIF-2b alpha subunit, putative,eIF-2B GDP-GTP exchange factor","overrepresented"
"Tb927.7.2780","hypothetical protein, conserved","overrepresented"
"Tb927.7.5360","hypothetical protein, conserved","overrepresented"
"Tb927.7.5460","exosome-associated protein 3,3' exoribonuclease, putative (EAP3)","overrepresented"
"Tb927.7.6190","hypothetical protein, conserved","overrepresented"
"Tb927.7.710","heat shock 70 kDa protein, putative (HSP70)","overrepresented"
"Tb927.7.770","hypothetical protein, conserved","overrepresented"
"Tb927.8.1930","hypothetical protein, conserved","overrepresented"
"Tb927.8.2391","hypothetical protein, conserved","overrepresented"
"Tb927.8.3340","hypothetical protein, conserved","overrepresented"
"Tb927.8.3820","hypothetical protein, conserved","overrepresented"
"Tb927.8.4200","hypothetical protein, conserved","overrepresented"
"Tb927.8.7790","hypothetical protein, conserved","overrepresented"
"Tb927.9.10850","hypothetical protein, conserved","overrepresented"
"Tb927.9.10930","hypothetical protein, conserved","overrepresented"
"Tb927.9.15020","hypothetical protein, conserved","overrepresented"
"Tb927.9.3480","U5Cwc21 small nuclear ribonucleoprotein (CWC21)","overrepresented"
"Tb927.9.4930","divalent cation transporter, putative","overrepresented"
"Tb927.9.5220","conserved protein","overrepresented"
"Tb927.9.7080","hypothetical protein, conserved","overrepresented"
"Tb927.9.7200","hypothetical protein, conserved","overrepresented"
"Tb927.9.7820","hypothetical protein, conserved","overrepresented"
