"Gene","Phenotype"
"Tb927.1.1020","overrepresented"
"Tb927.1.3310","overrepresented"
"Tb927.10.12050","overrepresented"
"Tb927.10.12370","overrepresented"
"Tb927.10.1490","overrepresented"
"Tb927.10.2830","overrepresented"
"Tb927.10.390","overrepresented"
"Tb927.10.5150","overrepresented"
"Tb927.10.6850","overrepresented"
"Tb927.10.7880","overrepresented"
"Tb927.10.9060","overrepresented"
"Tb927.11.11435","overrepresented"
"Tb927.11.12380","overrepresented"
"Tb927.11.13090","overrepresented"
"Tb927.11.13190","overrepresented"
"Tb927.11.15280","overrepresented"
"Tb927.11.1810","overrepresented"
"Tb927.11.2350","overrepresented"
"Tb927.11.5600","overrepresented"
"Tb927.11.590","overrepresented"
"Tb927.11.7475","overrepresented"
"Tb927.2.2130","overrepresented"
"Tb927.2.5210","overrepresented"
"Tb927.3.1610","overrepresented"
"Tb927.3.4030","overrepresented"
"Tb927.3.4930","overrepresented"
"Tb927.3.5190","overrepresented"
"Tb927.3.5250","overrepresented"
"Tb927.4.1910","overrepresented"
"Tb927.4.4540","overrepresented"
"Tb927.4.4810","overrepresented"
"Tb927.4.890","overrepresented"
"Tb927.5.2620","overrepresented"
"Tb927.5.3450","overrepresented"
"Tb927.5.4150","overrepresented"
"Tb927.5.4370","overrepresented"
"Tb927.6.1280","overrepresented"
"Tb927.6.3980","overrepresented"
"Tb927.7.2780","overrepresented"
"Tb927.7.5090","overrepresented"
"Tb927.7.5360","overrepresented"
"Tb927.7.5460","overrepresented"
"Tb927.7.6190","overrepresented"
"Tb927.7.710","overrepresented"
"Tb927.7.770","overrepresented"
"Tb927.8.1930","overrepresented"
"Tb927.8.2391","overrepresented"
"Tb927.8.3340","overrepresented"
"Tb927.8.3820","overrepresented"
"Tb927.8.4200","overrepresented"
"Tb927.8.7790","overrepresented"
"Tb927.9.10850","overrepresented"
"Tb927.9.10930","overrepresented"
"Tb927.9.15020","overrepresented"
"Tb927.9.4930","overrepresented"
"Tb927.9.5220","overrepresented"
"Tb927.9.7080","overrepresented"
"Tb927.9.7200","overrepresented"
"Tb927.9.7820","overrepresented"
