"Gene","Description"
"Tb04.24M18.150","hypothetical protein, conserved"
"Tb07.30D13.130","hypothetical protein, conserved (pseudogene)"
"Tb07.30D13.160","hypothetical protein, conserved (pseudogene)"
"Tb07.30D13.180","hypothetical protein, conserved (pseudogene)"
"Tb07.30D13.80","hypothetical protein, conserved (pseudogene)"
"Tb11.02.5410","ubiquitin activating enzyme, putative"
"Tb927.1.05","variant surface glycoprotein (VSG), putative"
"Tb927.1.1040","hypothetical protein, unlikely"
"Tb927.1.10","hypothetical protein"
"Tb927.1.110","hypothetical protein, conserved"
"Tb927.1.1350","kinesin heavy chain, putative"
"Tb927.1.1480","hypothetical protein, unlikely"
"Tb927.1.1650","hypothetical protein, conserved"
"Tb927.1.1670","ARM-like helical domain-containing protein"
"Tb927.1.1730","conserved protein, unknown function"
"Tb927.1.180","retrotransposon hot spot protein 1 (RHS1), putative"
"Tb927.1.1850","hypothetical protein, conserved"
"Tb927.1.190","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tb927.1.1990","Pre-mRNA-splicing factor 38, putative"
"Tb927.1.200","hypothetical protein, unlikely"
"Tb927.1.2040","expression site-associated gene 2 (ESAG2) protein, putative"
"Tb927.1.20","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 3 (ESAG3), pseudogene"
"Tb927.1.220","retrotransposon hot spot protein 1 (RHS1), putative"
"Tb927.1.2290","hypothetical protein, unlikely"
"Tb927.1.2300","hypothetical protein, unlikely"
"Tb927.1.2330","beta tubulin"
"Tb927.1.2340","alpha tubulin"
"Tb927.1.2350","beta tubulin"
"Tb927.1.2360","alpha tubulin"
"Tb927.1.2380","alpha tubulin"
"Tb927.1.2390","beta tubulin"
"Tb927.1.2400","alpha tubulin"
"Tb927.1.2410","beta tubulin, pseudogene"
"Tb927.1.2430","histone H3, putative"
"Tb927.1.2450","histone H3, putative"
"Tb927.1.2470","histone H3, putative"
"Tb927.1.2510","histone H3, putative"
"Tb927.1.2530","histone H3, putative"
"Tb927.1.2550","histone H3, putative"
"Tb927.1.2610","hypothetical protein, unlikely"
"Tb927.1.2820","pteridine transporter, putative"
"Tb927.1.2850","pteridine transporter, putative"
"Tb927.1.2880","pteridine transporter, putative"
"Tb927.1.305","hypothetical protein"
"Tb927.1.3070","hypothetical protein, conserved"
"Tb927.1.30","hypothetical protein"
"Tb927.1.310","hypothetical protein, unlikely"
"Tb927.1.3120","separase, putative,cysteine peptidase, Clan CD, family C50, putative"
"Tb927.1.3180","40S ribosomal protein S11, putative"
"Tb927.1.320","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tb927.1.3330","hypothetical protein, unlikely"
"Tb927.1.3450","hypothetical protein, conserved"
"Tb927.1.345","hypothetical protein"
"Tb927.1.350","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tb927.1.370","leucine-rich repeat protein (LRRP), putative"
"Tb927.1.3750","hypothetical protein, conserved"
"Tb927.1.380","hypothetical protein, conserved"
"Tb927.1.3950","alanine aminotransferase (ALAT)"
"Tb927.1.4230","hypothetical protein, conserved"
"Tb927.1.430","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tb927.1.4370","hypothetical protein, conserved"
"Tb927.1.4480","hypothetical protein, conserved"
"Tb927.1.450","retrotransposon hot spot protein (RHS, pseudogene), putative"
"Tb927.1.4540","cyclin-like F-box protein (CFB1A)"
"Tb927.1.4550","unspecified product"
"Tb927.1.4560","cyclin-like F-box protein (CFB1B)"
"Tb927.1.4570","unspecified product"
"Tb927.1.4580","cyclin-like F-box protein (CFB1C)"
"Tb927.1.4590","unspecified product"
"Tb927.1.4600","cyclin-like F-box protein (CFB1D)"
"Tb927.1.4630","cyclin-like F-box protein (CFB1E)"
"Tb927.1.480","leucine-rich repeat protein (LRRP), putative"
"Tb927.1.4850","hypothetical protein, unlikely"
"Tb927.1.4910","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 1 (ESAG1) protein, putative"
"Tb927.1.5060","variant surface glycoprotein (VSG)-related, putative"
"Tb927.1.5080","expression site-associated gene (ESAG) protein, putative,expression site-associated gene 9 (ESAG9) protein, putative"
"Tb927.1.5100","expression site-associated gene 2 (ESAG2) protein, putative"
"Tb927.1.5110","expression site-associated gene 11 (ESAG11) protein, putative"
"Tb927.1.5170","variant surface glycoprotein (VSG)-related, putative"
"Tb927.1.5220","expression site-associated gene 9 (ESAG9) protein, putative"
"Tb927.1.5235","expression site-associated gene (ESAG, pseudogene), putative,expression site-associated gene 1 (ESAG1), fragment"
